manufacturer,price,number_of_reviews,average_review_rating,sellers,cat,sub_cat,name,info,desc,reviews
987,8.44,2.0,5.0,549,34,14,0.6056057,-1.3059169,-1.99316,1.8243
1574,209.99,2.0,4.0,699,13,116,3.528918,-1.2695892,-1.7304822,-4.421398
1663,4.0,3.0,5.0,81,14,46,-3.511665,-0.8370277,-2.297708,-3.4589162
2342,19.99,1.0,5.0,160,7,140,0.8360361,-1.1238651,-2.5835328,-2.3753688
2105,1.49,77.0,4.5,387,0,97,1.504637,5.455937,-1.2365097,-2.2210264
763,9.26,77.0,4.9,1822,14,22,-2.8231862,5.360603,-2.3652127,-4.3877683
1869,32.7,4.0,3.5,330,7,140,-1.7045302,-1.4997056,-1.2884396,-0.2173956
1205,11.37,1.0,5.0,1822,34,14,3.465977,-0.9678568,22.461107,3.806646
1942,29.99,3.0,5.0,1822,29,43,6.8450394,-1.0206364,-2.1223457,3.4806256
682,14.99,9.0,4.8,1822,17,93,2.7751944,5.3322215,-2.0183103,-3.9722311
112,49.99,9.0,4.2,81,34,14,2.3198543,-1.8804548,-2.0281546,-4.0520444
1476,2.1,3.0,5.0,346,29,43,1.4081222,-1.0576298,-1.7800853,-0.4197147
1941,5.99,3.0,4.7,750,12,2,3.337631,-0.9878197,-2.884807,1.1158279
1694,1.86,1.0,5.0,1463,32,69,-8.47734,-1.3016016,-0.89333665,7.0931544
460,1.89,27.0,4.6,1822,29,73,-0.8435697,-1.0881335,22.461107,-2.5053291
1299,84.99,1.0,5.0,81,0,17,-7.5403833,5.258932,-1.3649958,-0.8983586
1821,13.12,12.0,4.8,1822,5,128,0.8255892,-1.5654458,-1.628761,-1.4995497
1597,2.38,2.0,5.0,1822,29,43,3.437926,-1.1837473,-2.1921623,3.1631496
635,1.42,1.0,5.0,421,29,10,4.4988484,-0.9397707,-2.6077135,5.6469707
98,1.99,1.0,5.0,1822,0,28,-1.0335029,-1.3072428,-1.8128397,5.225034
2017,9.95,1.0,5.0,1655,5,150,-4.4949336,5.4500833,22.461107,-3.4301407
732,25.92,2.0,5.0,1382,12,36,2.3707647,-0.8039349,-1.4735746,-1.1811514
2069,27.4,1.0,5.0,1584,17,93,0.720106,-1.2185488,1.2143577,-3.3221118
